id_orgao,orgao,link
205030,OEIRAS DO PARA - PA,
205040,RIACHAO DO BACAMARTE - PB,
205050,ORIXIMINA - PA,
205060,RIACHAO DO POCO - PB,
205070,OUREM - PA,
205080,RIACHO DE SANTO ANTONIO - PB,
205090,PARAGOMINAS - PA,
205100,SANTA CECILIA - PB,
205110,PEIXE-BOI - PA,
205120,SANTA INES - PB,
205130,PONTA DE PEDRAS - PA,
205140,SANTAREM - PB,
205150,PORTEL - PA,
205160,SANTO ANDRE - PB,
205170,PORTO DE MOZ - PA,
205180,SÃO BENTINHO - PB,
205190,PRAINHA - PA,
205200,SÃO DOMINGOS DO CARIRI - PB,
205210,PRIMAVERA - PA,
205220,SÃO DOMINGOS DO POMBAL - PB,
205230,SALINOPOLIS - PA,
205240,SÃO FRANCISCO - PB,
205250,SALVATERRA - PA,
205260,SÃO JOSE DOS RAMOS - PB,
205270,SANTA CRUZ DO ARARI - PA,
205280,SÃO JOSE DE PRINCESA - PB,
205290,SANTA ISABEL DO PARA - PA,
205300,SÃO JOSE DO BREJO DO CRUZ - PB,
205310,SANTA MARIA DO PARA - PA,
205320,SERTAOZINHO - PB,
205330,SANTANA DO ARAGUAIA - PA,
205340,SOBRADO - PB,
205350,SANTAREM - PA,
205360,SOSSEGO - PB,
205370,SANTAREM NOVO - PA,
205380,TENORIO -PB,
205390,SANTO ANTONIO DO TAUA - PA,
205400,VIEIROPOLIS - PB,
205410,SAO CAETANO DE ODIVELAS - PA,
205420,ZABELE - PB,
205430,SAO DOMINGOS DO CAPIM - PA,
205440,ARACOIABA - PE,
205450,SAO FELIX DO XINGU - PA,
205460,CASINHAS - PE,
205470,SAO FRANCISCO DO PARA - PA,
205480,JAQUEIRA - PE,
205490,SAO JOAO DO ARAGUAIA - PA,
205500,JATOBA - PE,
205510,SAO MIGUEL DO GUAMA - PA,
205520,LAGOA GRANDE - PE,
205530,S. SEBASTIAO DA BOA VISTA - PA,
205540,MANARI - PE,
205550,SENADOR JOSE PORFIRIO - PA,
205560,SANTA FILOMENA - PE,
205570,SOURE - PA,
205580,TAMANDARE - PE,
205590,TOME-ACU - PA,
205600,CAMPESTRE - AL,
205610,TUCURUI - PA,
205620,JEQUIA DA PRAIA - AL,
205630,VIGIA - PA,
205640,ALTO CAPARAO - MG,
205650,VISEU - PA,
205660,ANGELANDIA - MG,
205670,REDENCAO - PA,
205680,ARICANDUVA - MG,
205690,RIO MARIA - PA,
205700,BERIZAL - MG,
205710,XINGUARA - PA,
205720,BONITO DE MINAS - MG,
205730,RONDON DO PARA - PA,
205740,BRASILANDIA DE MINAS - MG,
205750,BOM JESUS DO TOCANTINS - PA,
205760,BUGRE - MG,
205770,BREJO GRANDE DO ARAGUAIA - PA,
205780,"CABECEIRA GRANDE
- MG",
205790,CONCORDIA DO PARA - PA,
205800,CAMPO AZUL - MG,
205810,CURIONOPOLIS - PA,
205820,CANTA GALO - MG,
205830,DOM ELISEU - PA,
205840,CATAS ALTAS - MG,
205850,GARRAFAO DO NORTE - PA,
205860,CATUTI - MG,
205870,MAE DO RIO - PA,
205880,CHAPADA GAUCHA - MG,
205890,MEDICILANDIA - PA,
205900,CONEGO MARINHO - MG,
205910,OURILANDIA DO NORTE - PA,
205920,CONFINS - MG,
205930,PACAJA - PA,
205940,CORREGO FUNDO - MG,
205950,PARAUAPEBAS - PA,
205960,CRISOLITA - MG,
205970,RUROPOLIS - PA,
205980,CUPARAQUE - MG,
205990,STA. MARIA DAS BARREIRAS - PA,
206000,"CURRAL DE DENTRO
- MG",
206010,AMAPA - AP,
206020,DELTA - MG,
206030,CALCOENE - AP,
206040,DIVISA ALEGRE - MG,
206050,MACAPA - AP,
206060,DOM BOSCO - MG,
206070,MAZAGAO - AP,
206080,FRANCISCOPOLIS - MG,
206090,OIAPOQUE - AP,
206100,FREI LAGONEGRO - MG,
206110,FERREIRA GOMES - AP,
206120,FRUTA DE LEITE - MG,
206130,LARANJAL DO JARI - AP,
206140,GAMELEIRAS - MG,
206150,SANTANA - AP,
206160,GLAUCILANDIA - MG,
206170,"TARTARUGALZINHO
- AP",
206180,GOIABEIRA - MG,
206190,S. GERALDO DO ARAGUAIA - PA,
206200,GOIANA - MG,
206210,IPIXUNA DO PARA - PA,
206220,GUARACIAMA - MG,
206230,ULIANOPOLIS - PA,
206240,IBIRACATU - MG,
206250,BREU BRANCO - PA,
206260,IMBE DE MINAS - MG,
206270,"GOIANESIA DO PARA
- PA",
206280,INDAIABIRA - MG,
206290,NOVO REPARTIMENTO - PA,
206300,JAPONVAR - MG,
206310,JACAREACANGA - PA,
206320,"JENIPAPO DE MINAS
- MG",
206330,NOVO PROGRESSO - PA,
206340,JOSE GONÇALVES DE MINAS - MG,
206350,TRAIRAO - PA,
206360,JOSE RAYDAN - MG,
206370,TERRA SANTA - PA,
206380,JOSENOPOLIS - MG,
206390,BRASIL NOVO - PA,
206400,JUVENILHA - MG,
206410,VITORIA DO XINGU - PA,
206420,LEME DO PRADO - MG,
206430,ACRELANDIA - AC,
206440,LUIZBURGO - MG,
206450,BUJARI - AC,
206460,LUSILANDIA - MG,
206470,CAPIXABA - AC,
206480,MARIO CAMPOS - MG,
206490,PORTO ACRE - AC,
206500,MARTINHO SOARES - MG,
206510,EPITACIOLANDIA - AC,
206520,MIRAVANIA - MG,
206530,JORDAO - AC,
206540,MONTE FORMOSO - MG,
206550,MARECHAL THAUMATURGO - AC,
206560,NAQUE - MG,
206570,PORTO WALTER - AC,
206580,NATALANDIA - MG,
206590,RODRIGUES ALVES - AC,
206600,NINHEIRA - MG,
206610,SANTA ROSA - AC,
206620,NOVA BELEM - MG,
206630,AMAPARI - PA,
206640,"NOVA PORTEIRINHA
- MG",
206650,SERRA DO NAVIO - PA,
206660,NOVO ORIENTE DE MINAS - MG,
206670,CUTIAS - RO,
206680,NOVORIZONTE - MG,
206690,ITAUBAL - PA,
206700,OLHOS-D’AGUA - MG,
206710,PORTO GRANDE - AP,
206720,ORATORIOS - MG,
206730,PRACUUBA - PA,
206740,ORIZANIA - MG,
206750,ALTO PARAISO - RO,
206760,PADRE CARVALHO - MG,
206770,CACAULANDIA - RO,
206780,PAI PEDRO - MG,
206790,CAMPO NOVO DE RONDONIA - RO,
206800,PATIS - MG,
206810,CANDEIAS DO JAMARI - RO,
206820,PEDRA BONITA - MG,
206830,ITAPUÃ DO OESTE - RO,
206840,PERIQUITO - MG,
206850,MONTE NEGRO - RO,
206860,PIEDADE DE CARATINGA - MG,
206870,RIO CRESPO - RO,
206880,PINGO D’AGUA - MG,
206890,NOVO HORIZONTE DO OESTE - RN,
206900,PINTOPOLIS - MG,
206910,CASTANHEIRAS - RO,
